"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIAA1279",23.3601890373559,-0.451007210685455,0.065492957071184,-6.88634672878272,5.72433723929539e-12,1.63238563289495e-09
"SGMS1",10.4713415583842,-0.586800777102649,0.0852293564581324,-6.88496078684938,5.78034552542353e-12,1.63238563289495e-09
"SNHG14",30.9842579438778,-0.574168325543996,0.0834553466374609,-6.87994656637454,5.9875014986374e-12,1.6677242187917e-09
"GABBR1",105.826263437223,-0.915254692938069,0.133143349281002,-6.87420511712084,6.23364604322221e-12,1.68830450152834e-09
"LAMB2",116.29058189575,0.832760847896176,0.121227363454997,6.86941317671499,6.44665387534731e-12,1.68830450152834e-09
"PPP1CA",57.3137294780859,0.392505738709733,0.0571142427832223,6.87229173639739,6.3178579682661e-12,1.68830450152834e-09
"VASP",21.6464330526656,0.771275968318883,0.11217004437846,6.87595313519367,6.15767427696828e-12,1.68830450152834e-09
"ZFYVE20",16.1170620202073,-0.517587598788825,0.0753539395846825,-6.86875300271676,6.47655294935378e-12,1.68830450152834e-09
"UNC80",4.35088984877134,-1.0299470854843,0.150237396913448,-6.85546412973097,7.10813568074101e-12,1.8294901619811e-09
"RAB8A",25.636298222169,0.570137995881768,0.0834467135781043,6.83236009466246,8.35288550050023e-12,2.12299026102089e-09
"VMP1",57.3266402803649,0.735749864285041,0.108072892355472,6.80790389013576,9.90309829243477e-12,2.48592219234662e-09
"FAM149B1",14.4671516765104,-0.451573847491165,0.0664288541957537,-6.79785693970363,1.06186818491558e-11,2.60132118119138e-09
"TUB",17.0273415706525,-0.842876212733913,0.123990172148761,-6.79792759479877,1.06134768732153e-11,2.60132118119138e-09
"LRRTM3",6.11384679144422,-0.87957017409757,0.129501802635092,-6.7919531326989,1.10625491011075e-11,2.67779536753354e-09
"HSPE1",161.230777634122,0.610670224679992,0.0899541210928681,6.78868535716713,1.13159927731222e-11,2.70691860065758e-09
"SLITRK5",4.17120711640037,-0.993400378839682,0.146578721468483,-6.77724821780002,1.22486350739606e-11,2.89594763905629e-09
"MT2A",500.631616121428,1.11215995422216,0.16454819665283,6.75887051238025,1.39071613436585e-11,3.24226264124865e-09
"RALGPS1",10.2093604584665,-0.571564610933504,0.0846018609153645,-6.75593426373086,1.41917756883455e-11,3.24226264124865e-09
"RPN1",79.3009513722312,0.314896735128426,0.046609800733176,6.75601976784013,1.41834075937192e-11,3.24226264124865e-09
"RP11-54O7.14",1.87292699567979,3.07542136141035,0.45538104378685,6.75351203870019,1.4430852478961e-11,3.26025026060793e-09
"RAB30",9.68716577523787,-0.586449869446248,0.0870712869631483,-6.73528426993911,1.63609744956826e-11,3.65568894967817e-09
